Date,Price,Open,High,Low,Vol.,Change %,Change
8/1/2003,"1,008.00",990.3,"1,011.00",960.8,,1.79%,1.79
7/1/2003,990.3,974.5,"1,015.40",962.1,,1.62%,1.62
6/1/2003,974.5,963.6,"1,015.30",963.6,,1.13%,1.13
5/1/2003,963.6,916.9,965.4,902.8,,5.09%,5.09
4/1/2003,916.9,848.2,924.2,847.9,,8.10%,8.1
3/1/2003,848.2,841.1,895.9,788.9,,0.84%,0.84
2/1/2003,841.1,855.7,864.6,806.3,,-1.71%,-1.71
1/1/2003,855.7,879.8,935,840.3,,-2.74%,-2.74
12/1/2002,879.8,936.3,954.3,869.5,,-6.03%,-6.03
11/1/2002,936.3,885.8,941.8,872,,5.70%,5.7
10/1/2002,885.8,815.3,907.4,768.6,,8.65%,8.65
9/1/2002,815.3,916.1,924,800.2,,-11.00%,-11
8/1/2002,916.1,911.6,965,833.4,,0.49%,0.49
7/1/2002,911.6,989.8,994.5,775.7,,-7.90%,-7.9
6/1/2002,989.8,"1,067.10","1,070.70",952.9,,-7.24%,-7.24
5/1/2002,"1,067.10","1,076.90","1,106.60","1,049.00",,-0.91%,-0.91
4/1/2002,"1,076.90","1,146.00","1,147.80","1,063.50",,-6.14%,-6.14
3/1/2002,"1,147.40","1,108.70","1,173.90","1,108.70",,3.68%,3.68
2/1/2002,"1,106.70","1,127.40","1,130.20","1,074.40",,-2.08%,-2.08
1/1/2002,"1,130.20","1,149.00","1,177.00","1,081.70",,-1.56%,-1.56
12/1/2001,"1,148.10","1,139.50","1,173.60","1,114.50",,0.75%,0.75
11/1/2001,"1,139.50","1,063.10","1,163.40","1,054.30",,7.52%,7.52
10/1/2001,"1,059.80","1,037.90","1,110.60","1,026.80",,1.82%,1.82
9/1/2001,"1,040.90","1,133.60","1,155.40",944.8,,-8.18%,-8.18
8/1/2001,"1,133.60","1,211.20","1,226.30","1,124.90",,-6.41%,-6.41
7/1/2001,"1,211.20","1,224.40","1,239.80","1,165.50",,-1.08%,-1.08
6/1/2001,"1,224.40","1,255.80","1,286.60","1,203.00",,-2.50%,-2.5
5/1/2001,"1,255.80","1,249.50","1,315.90","1,232.00",,0.50%,0.5
4/1/2001,"1,249.50","1,160.30","1,269.30","1,092.00",,7.69%,7.69
3/1/2001,"1,160.30","1,239.90","1,267.40","1,081.20",,-6.42%,-6.42
2/1/2001,"1,239.90","1,366.00","1,376.40","1,215.40",,-9.23%,-9.23
1/1/2001,"1,366.00","1,320.30","1,383.40","1,274.60",,3.46%,3.46
12/1/2000,"1,320.30","1,315.00","1,389.00","1,254.10",,0.40%,0.4
11/1/2000,"1,315.00","1,429.40","1,438.50","1,294.90",,-8.00%,-8
10/1/2000,"1,429.40","1,436.50","1,454.80","1,305.80",,-0.49%,-0.49
9/1/2000,"1,436.50","1,517.70","1,530.00","1,419.50",,-5.35%,-5.35
8/1/2000,"1,517.70","1,430.80","1,525.30","1,426.00",,6.07%,6.07
7/1/2000,"1,430.80","1,454.60","1,517.20","1,414.20",,-1.64%,-1.64
6/1/2000,"1,454.60","1,420.60","1,489.00","1,420.60",,2.39%,2.39
5/1/2000,"1,420.60","1,452.40","1,481.40","1,361.20",,-2.19%,-2.19
4/1/2000,"1,452.40","1,498.60","1,527.10","1,339.40",,-3.08%,-3.08
3/1/2000,"1,498.60","1,366.40","1,553.10","1,346.50",,9.68%,9.68
2/1/2000,"1,366.40","1,394.50","1,444.40","1,325.00",,-2.02%,-2.02
1/1/2000,"1,394.50","1,469.20","1,478.00","1,350.00",,-5.08%,-5.08
